BIT : 01       A: 00 X: 00 Y: 00 PC: C86C S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C86E S: FB 
LDA : FF       A: 00 X: 00 Y: 00 PC: C86F S: FB 
PHA :          A: FF X: 00 Y: 00 PC: C871 S: FB 
LDA : 00       A: FF X: 00 Y: 00 PC: C872 S: FA 
PLA :          A: 00 X: 00 Y: 00 PC: C874 S: FA 
BEQ : 09       A: FF X: 00 Y: 00 PC: C875 S: FB 
BPL : 07       A: FF X: 00 Y: 00 PC: C877 S: FB 
BVS : 05       A: FF X: 00 Y: 00 PC: C879 S: FB 
BCC : 03       A: FF X: 00 Y: 00 PC: C87B S: FB 
JMP : 84 C8    A: FF X: 00 Y: 00 PC: C87D S: FB 
RTS :          A: FF X: 00 Y: 00 PC: C884 S: FB 
JSR : 85 C8    A: FF X: 00 Y: 00 PC: C603 S: FD 
NOP :          A: FF X: 00 Y: 00 PC: C885 S: FB 
CLC :          A: FF X: 00 Y: 00 PC: C886 S: FB 
LDA : FF       A: FF X: 00 Y: 00 PC: C887 S: FB 
STA : 01       A: FF X: 00 Y: 00 PC: C889 S: FB 
BIT : 01       A: FF X: 00 Y: 00 PC: C88B S: FB 
LDA : 55       A: FF X: 00 Y: 00 PC: C88D S: FB 
ORA : AA       A: 55 X: 00 Y: 00 PC: C88F S: FB 
BCS : 0B       A: FF X: 00 Y: 00 PC: C891 S: FB 
BPL : 09       A: FF X: 00 Y: 00 PC: C893 S: FB 
CMP : FF       A: FF X: 00 Y: 00 PC: C895 S: FB 
BNE : 05       A: FF X: 00 Y: 00 PC: C897 S: FB 
BVC : 03       A: FF X: 00 Y: 00 PC: C899 S: FB 
JMP : A2 C8    A: FF X: 00 Y: 00 PC: C89B S: FB 
NOP :          A: FF X: 00 Y: 00 PC: C8A2 S: FB 
SEC :          A: FF X: 00 Y: 00 PC: C8A3 S: FB 
CLV :          A: FF X: 00 Y: 00 PC: C8A4 S: FB 
LDA : 00       A: FF X: 00 Y: 00 PC: C8A5 S: FB 
ORA : 00       A: 00 X: 00 Y: 00 PC: C8A7 S: FB 
BNE : 09       A: 00 X: 00 Y: 00 PC: C8A9 S: FB 
BVS : 07       A: 00 X: 00 Y: 00 PC: C8AB S: FB 
BCC : 05       A: 00 X: 00 Y: 00 PC: C8AD S: FB 
BMI : 03       A: 00 X: 00 Y: 00 PC: C8AF S: FB 
JMP : B8 C8    A: 00 X: 00 Y: 00 PC: C8B1 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C8B8 S: FB 
CLC :          A: 00 X: 00 Y: 00 PC: C8B9 S: FB 
BIT : 01       A: 00 X: 00 Y: 00 PC: C8BA S: FB 
LDA : 55       A: 00 X: 00 Y: 00 PC: C8BC S: FB 
AND : AA       A: 55 X: 00 Y: 00 PC: C8BE S: FB 
BNE : 09       A: 00 X: 00 Y: 00 PC: C8C0 S: FB 
BVC : 07       A: 00 X: 00 Y: 00 PC: C8C2 S: FB 
BCS : 05       A: 00 X: 00 Y: 00 PC: C8C4 S: FB 
BMI : 03       A: 00 X: 00 Y: 00 PC: C8C6 S: FB 
JMP : CF C8    A: 00 X: 00 Y: 00 PC: C8C8 S: FB 
