LDA : FF       A: 04 X: 00 Y: 00 PC: C84B S: FB Cycle: 218 
STA : 01       A: FF X: 00 Y: 00 PC: C84D S: FB Cycle: 224 
BIT : 01       A: FF X: 00 Y: 00 PC: C84F S: FB Cycle: 233 
CLC :          A: FF X: 00 Y: 00 PC: C851 S: FB Cycle: 242 
LDA : 00       A: FF X: 00 Y: 00 PC: C852 S: FB Cycle: 248 
PHA :          A: 00 X: 00 Y: 00 PC: C854 S: FB Cycle: 254 
LDA : FF       A: 00 X: 00 Y: 00 PC: C855 S: FA Cycle: 263 
PLA :          A: FF X: 00 Y: 00 PC: C857 S: FA Cycle: 269 
BNE : 09       A: 00 X: 00 Y: 00 PC: C858 S: FB Cycle: 281 
BMI : 07       A: 00 X: 00 Y: 00 PC: C85A S: FB Cycle: 287 
BVC : 05       A: 00 X: 00 Y: 00 PC: C85C S: FB Cycle: 293 
BCS : 03       A: 00 X: 00 Y: 00 PC: C85E S: FB Cycle: 299 
JMP : 67 C8    A: 00 X: 00 Y: 00 PC: C860 S: FB Cycle: 305 
NOP :          A: 00 X: 00 Y: 00 PC: C867 S: FB Cycle: 314 
LDA : 00       A: 00 X: 00 Y: 00 PC: C868 S: FB Cycle: 320 
STA : 01       A: 00 X: 00 Y: 00 PC: C86A S: FB Cycle: 326 
BIT : 01       A: 00 X: 00 Y: 00 PC: C86C S: FB Cycle: 335 
SEC :          A: 00 X: 00 Y: 00 PC: C86E S: FB Cycle: 3 
LDA : FF       A: 00 X: 00 Y: 00 PC: C86F S: FB Cycle: 9 
PHA :          A: FF X: 00 Y: 00 PC: C871 S: FB Cycle: 15 
LDA : 00       A: FF X: 00 Y: 00 PC: C872 S: FA Cycle: 24 
PLA :          A: 00 X: 00 Y: 00 PC: C874 S: FA Cycle: 30 
BEQ : 09       A: FF X: 00 Y: 00 PC: C875 S: FB Cycle: 42 
BPL : 07       A: FF X: 00 Y: 00 PC: C877 S: FB Cycle: 48 
BVS : 05       A: FF X: 00 Y: 00 PC: C879 S: FB Cycle: 54 
BCC : 03       A: FF X: 00 Y: 00 PC: C87B S: FB Cycle: 60 
JMP : 84 C8    A: FF X: 00 Y: 00 PC: C87D S: FB Cycle: 66 
RTS :          A: FF X: 00 Y: 00 PC: C884 S: FB Cycle: 75 
JSR : 85 C8    A: FF X: 00 Y: 00 PC: C603 S: FD Cycle: 93 
NOP :          A: FF X: 00 Y: 00 PC: C885 S: FB Cycle: 111 
CLC :          A: FF X: 00 Y: 00 PC: C886 S: FB Cycle: 117 
LDA : FF       A: FF X: 00 Y: 00 PC: C887 S: FB Cycle: 123 
STA : 01       A: FF X: 00 Y: 00 PC: C889 S: FB Cycle: 129 
